entity_type,username,password,role,street,city,name,medical_speciality,id_address,telephone,is_active,role_name,id_action_user,appointment_date,id_doctor,id_patient,id_medical_center,motiu
user_role,,,,,,,,,,,secretary,,,,,,
user_role,,,,,,,,,,,patient,,,,,,
user_role,,,,,,,,,,,doctor,,,,,,
address,,,,"Carrer del caire 24, 2º 2na",Barcelona,,,,,,,,,,,,
medical_center,,,,,,New Institut Cor BCN,,1,,,,,,,,,
user,uri,5{CM9C2^gRmhtf8zs88$c`(Ve-V`nW#8c]TLD6ar:5ZFMx,admin,,,,,,,,,,,,,,
user,helena,y6MAf84i=QSi6t?9G2X04@YM|yiVtC:^/64MYpeA£P#P&(£,secretary,,,,,,,,,,,,,,
medical_speciality,,,,,,Cardiología,,,,,,,,,,,
doctor,marti10,E/iPI$mjCW+x[71/Y5aCLoW:T_3C-b7>]2erAH7bGw/6jLGV,,,,Martí Quim Nogué,Cardiología,,,,,,,,,,
patient,joan,testw34,,,,Joan Arany Saltó,,,999999999,true,,,,,,,
medical_appointment_status,,,,,,Pending,,,,,,,,,,,
medical_appointment_status,,,,,,Approved,,,,,,,,,,,
medical_appointment_status,,,,,,Declined,,,,,,,,,,,
medical_appointment_status,,,,,,Cancelled,,,,,,,,,,,
medical_appointment,,,,,,,,,,,,1,2025-01-08T17:05:23,1,1,1,visita mèdica revisió cor
